"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","Output21"
"G",48,29,83.678,14.703,39.407,77.012,44.337,20.518,"G",82,"Class4"
"E",64,30,98.969,16.778,18.173,86.303,26.864,19.887,"G",32,"Class4"
"X",93,61,43.505,15.783,22.412,31.773,88.358,36.5,"M",74,"Class3"
"E",69,46,58.226,17.035,16.542,38.144,90.243,51.938,"C",67,"Class3"
"X",59,NA,39.853,40.049,22.028,41.166,72.19,52.497,"M",89,"Class3"
"G",43,31,75.345,20.053,25.778,62.185,41.48,18.967,"A",73,"Class4"
"D",39,NA,33.857,59.979,21.324,40.886,58.708,90.849,"I",68,"Class2"
"G",91,72,6.594,26.453,77.395,80.662,84.26,60.571,"K",NA,"Class1"
"J",56,33,78.638,20.973,14.579,67.986,19.632,21.192,"L",23,"Class4"
"H",83,27,92.325,24.165,37.56,74.531,80.96,20.875,"A",23,"Class4"
"Y",75,71,51.882,20.589,8.551,35.213,86.113,45.031,"C",75,"Class3"
