"O1","Output14","O2","O3","O4","O5","O6","O7","O8","O9","O10","O11"
17,"Class1",52.202,85.219,73.324,81.449,65.629,"C",51,40,8.879,"P"
33,"Class2",47.001,76.774,5.845,43.303,109.221,"R",41,87,92.896,"K"
41,"Class1",68.228,85.462,37.842,86.134,89.517,"J",75,43,9.662,"H"
12,"Class1",55.132,95.415,36.349,88.295,64.838,"M",74,37,6.958,"L"
35,"Class2",74.485,84.381,35.367,75.721,93.08,"R",44,87,84.101,"K"
50,"Class4",26.801,67.99,36.269,18.911,11.61,"H",22,33,17.485,"Y"
83,"Class3",82.735,8.445,55.78,67.737,10.171,"L",43,91,44.899,"L"
44,"Class1",46.472,80.508,15.803,79.625,87.43,"C",39,48,11.532,"L"
27,"Class1",49.144,98.922,54.985,88.588,81.004,"R",80,50,10.179,"L"
26,"Class2",49.104,78.775,26.06,62.024,42.301,"L",45,87,91.037,"K"
31,"Class2",82.125,68.605,14.709,80.576,86.443,"R",41,86,93.971,"U"
