"K1","K2","K3","K4","K5","K6","Output10","K7","K8","K9","K10","K11"
60,71.429,35.588,11.081,67.137,62,"Class3",64,"H",50.381,36.628,"D"
50,55.528,35.551,66.844,13.843,92,"Class2",NA,"T",97.985,16.676,"D"
40,90.916,34.407,33.581,70.795,66,"Class3",12,"H",75.08,33.698,"F"
76,82.48,36.979,97.218,73.382,82,"Class1",80,"T",56.297,38.351,"X"
43,35.212,36.71,86.106,NA,78,"Class2",70,"B",92.25,26.521,"X"
41,84.905,31.127,30.958,60.629,16,"Class3",35,"H",43.128,69.183,"E"
54,80.517,29.864,72.715,61.163,92,"Class3",38,"H",-26.072,62.827,"F"
55,91.657,32.775,49.147,70.271,27,"Class3",11,"W",64.647,41.933,"W"
62,100.443,46.177,98.455,77.504,71,"Class1",50,"L",63.299,-0.812,"V"
65,90.624,42.959,98.636,73.393,71,"Class1",30,"Z",77.641,40.866,"W"
83,53.504,30.762,8.729,77.4,68,"Class3",39,"G",75.077,16.847,"F"
